"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Verify that an existing booking can be retrieved.
","386","test_get_booking","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
"","365","Verify booking can be filtered by first name","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","300","test_create_bookings_with_different_first_names[John]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_retrieval.feature: Retrieve a newly created booking successfully","368","test_retrieve_a_newly_created_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","306","Verify GET booking with invalid booking ID","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","306","test_create_booking_invalid_payload[missing_required_fields]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","371","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/authentication/authentication.feature: Reject invalid authentication credentials","305","test_reject_invalid_authentication_credentials","Python API Automation","2026-09-08","passed","2026-09-08","","test_auth_steps.py","",""
"","298","Verify booking creation boundary values","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","304","test_create_bookings_with_different_first_names[David]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","373","Verify booking creation using reusable factory data","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","299","Verify GET booking with invalid booking ID","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"","294","Verify booking creation boundary values","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_creation.feature: Create bookings with different first names","297","test_create_bookings_with_different_first_names[Michael]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"","371","Verify delete is rejected with invalid token","Python API Automation","2026-09-08","passed","2026-09-08","","test_api_coverage.py","",""
"","299","test_create_booking_invalid_payload[missing_firstname]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_negative.py","",""
"/home/runner/work/Python-SDET-API-Automation/Python-SDET-API-Automation/features/booking/booking_update.feature: Update an existing booking successfully","436","test_update_an_existing_booking_successfully","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking_steps.py","",""
"
Verify that a new booking can be created successfully.
","300","test_create_booking[firstname_John]","Python API Automation","2026-09-08","passed","2026-09-08","","test_booking.py","",""
